Code,Description
30793,"Benguela, Angola"
30795,"Bulolo, Papua New Guinea"
30796,"Butler, MO"
30797,"Buenaventura, Colombia"
30798,"Burao, Somalia"
30799,"Bulawayo, Zimbabwe"
30801,"Batumi, Georgia"
30802,"Buyo, Cote d'Ivoire"
30803,"Bella Union, Uruguay"
30804,"Bunia, Congo (Kinshasa)"
30805,"Bunbury, Australia"
30806,"Bushehr, Iran"
30807,"Beauvais, France"
30808,"Boa Vista, Brazil"
30809,"Beaver Inlet, AK"
30810,"Birdsville, Australia"
30811,"Bartlesville, OK"
30812,"St. James, MI"
30814,"Batesville, AR"
30815,"Beverly, MA"
30816,"Bhairawa, Nepal"
30817,"Brownwood, TX"
30818,"Braunschweig, Germany"
30819,"Bowling Green, KY"
30822,"Bawan, Papua New Guinea"
30823,"Bowman, ND"
30824,"Bandar Seri Begawan, Brunei"
30825,"Blaine, WA"
30826,"Burnie, Australia"
30827,"Woodbridge, United Kingdom"
30828,"Boxborough, MA"
30829,"Bade, Indonesia"
30830,"Bakel, Senegal"
30831,"Bissau, Guinea-Bissau"
30832,"Borrego Springs, CA"
30833,"Butuan, Philippines"
30834,"Boundary, AK"
30835,"Yacuiba, Bolivia"
30836,"Rock Hill, SC"
30837,"Buffalo, WY"
30838,"Blytheville, AR"
30839,"Burley/Rupert, ID"
30840,"Bouake, Cote d'Ivoire"
30841,"Boyne Falls, MI"
30842,"Bantry, Ireland"
30843,"Bayreuth, Germany"
30844,"Blakely Island, WA"
30845,"Bonanza, Nicaragua"
30846,"Belize City, Belize"
30847,"Bydgoszcz, Poland"
30848,"Balikesir, Turkey"
30849,"Bozeman, MT"
30850,"Bolzano, Italy"
30851,"Beziers, France"
30852,"Washington, DC (Metropolitan Area)"
30853,"Brazoria, TX"
30854,"Brazzaville, Congo (Brazaville)"
30856,"Brize Norton, United Kingdom"
30857,"Camarillo, CA"
30859,"Koala Mine, Canada"
30860,"Lake Simcoe, Canada"
30861,"Thetford Mines, Canada"
30862,"Pelee Island, Canada"
30863,"Calgary, Canada"
30865,"Cabinda, Angola"
30866,"Cascavel, Brazil"
30867,"Cadillac, MI"
30868,"Columbia, SC"
30869,"Carauari, Brazil"
30870,"Cagliari, Italy"
30871,"Ca Mau, Vietnam"
30872,"Cairo, Egypt"
30873,"Canaima, Venezuela"
30875,"Campbeltown, United Kingdom"
30876,"Camiri, Bolivia"
30877,"Guangzhou, China"
30878,"Cap-Haitien, Haiti"
30879,"Caribou, ME"
30880,"Casablanca, Morocco"
30882,"Campos, Brazil"
30883,"Carlisle, United Kingdom"
30884,"Cayenne, French Guiana"
30885,"Cobar, Australia"
30886,"Corner Bay, AK"
30887,"Cochabamba, Bolivia"
30888,"Cumberland, MD"
30889,"Council Bluffs, IA"
30890,"Cambridge, United Kingdom"
30891,"Colomb-Bechar, Algeria"
30892,"Colby, KS"
30893,"Ciudad Bolivar, Venezuela"
30894,"Columbus, MS"
30895,"Cotabato, Philippines"
30896,"Calabar, Nigeria"
30897,"Canberra, Australia"
30898,"Coban, Guatemala"
30899,"Canobie, Australia"
30900,"Cayo Coco, Cuba"
30902,"Carcassonne, France"
30903,"Chile Chico, Chile"
30904,"Concordia, Brazil"
30905,"Calicut, India"
30906,"Cocos (Keeling) Islands, Cocos (Keeling) Islands"
30907,"Crisciuma, Brazil"
30908,"Chakhcharan, Afghanistan"
30909,"Concepcion, Chile"
30911,"Caracas, Venezuela"
30912,"Kolkata, India"
30913,"Cordova, AK"
30914,"Caceres, Brazil"
30915,"Charles City, IA"
30916,"Chub Cay, The Bahamas"
30918,"Cedar City, UT"
30919,"Cortina d'Ampezzo, Italy"
30920,"Paris, France"
30921,"Camden, AR"
30922,"Conceicao Do Araguaia, Brazil"
30923,"Candle, AK"
30924,"Camden, SC"
30925,"Chadron, NE"
